X	Y
1.772770e-01	-2.547563e-04
1.780240e-01	-5.734446e-05
1.787700e-01	-5.127346e-05
1.795170e-01	4.010530e-04
1.802630e-01	5.411943e-04
1.810090e-01	2.931256e-04
1.817560e-01	4.169240e-04
1.825020e-01	3.203834e-04
1.832490e-01	5.113416e-04
1.839950e-01	2.658343e-04
1.847420e-01	-5.045678e-04
1.854880e-01	5.383041e-05
1.862350e-01	2.832921e-04
1.869810e-01	2.696611e-04
1.877270e-01	5.451250e-04
1.884740e-01	3.610298e-04
1.892200e-01	-1.497740e-04
1.899670e-01	3.086192e-04
1.907130e-01	2.207479e-04
1.914600e-01	2.650548e-04
1.922060e-01	2.366361e-04
1.929520e-01	2.477852e-04
1.936990e-01	1.055747e-05
1.944450e-01	5.303716e-05
1.951920e-01	5.745156e-04
1.959380e-01	3.142694e-05
1.966850e-01	5.863824e-05
1.974310e-01	3.400203e-04
1.981770e-01	-4.995362e-05
1.989240e-01	7.042379e-04
1.996700e-01	4.117101e-04
2.004170e-01	3.568086e-04
2.011630e-01	2.369225e-04
2.019100e-01	4.153252e-04
2.026560e-01	5.431776e-04
2.034020e-01	2.624768e-04
2.041490e-01	2.135813e-04
2.048950e-01	2.387834e-05
2.056420e-01	4.093485e-04
2.063880e-01	4.623896e-04
2.071350e-01	3.376284e-04
2.078810e-01	3.630812e-04
2.086270e-01	-5.439583e-05
2.093740e-01	3.736777e-04
2.101200e-01	5.572353e-04
2.108670e-01	1.865178e-04
2.116130e-01	3.585872e-04
2.123600e-01	-6.367199e-05
2.131060e-01	2.381253e-04
2.138520e-01	4.049601e-04
2.145990e-01	4.265190e-04
2.153450e-01	3.033079e-04
2.160920e-01	-2.063942e-04
2.168380e-01	6.009906e-04
2.175850e-01	8.809633e-06
2.183310e-01	3.800885e-04
2.190770e-01	2.984140e-04
2.198240e-01	7.589865e-04
2.205700e-01	3.857635e-04
2.213170e-01	1.783695e-04
2.220630e-01	2.064635e-04
2.228100e-01	1.974458e-04
2.235560e-01	1.327205e-04
2.243020e-01	-8.143490e-05
2.250490e-01	-8.363467e-05
2.257950e-01	1.414769e-05
2.265420e-01	1.109498e-04
2.272880e-01	7.429720e-05
2.280350e-01	1.744573e-04
2.287810e-01	1.880285e-04
2.295280e-01	2.880464e-04
2.302740e-01	-1.125214e-04
2.310200e-01	4.682843e-04
2.317670e-01	-1.798557e-04
2.325130e-01	1.735225e-04
2.332600e-01	2.990551e-04
2.340060e-01	2.273685e-04
2.347530e-01	4.567949e-04
2.354990e-01	1.939766e-05
2.362450e-01	2.023589e-04
2.369920e-01	1.983073e-04
2.377380e-01	5.920580e-05
2.384850e-01	-8.802333e-07
2.392310e-01	2.080913e-04
2.399780e-01	3.075391e-04
2.407240e-01	4.054252e-05
2.414700e-01	2.537495e-04
2.422170e-01	5.328104e-04
2.429630e-01	3.236305e-04
2.437100e-01	1.560396e-04
2.444560e-01	1.924613e-04
2.452030e-01	-5.752993e-05
2.459490e-01	2.380669e-04
2.466950e-01	6.194824e-04
2.474420e-01	5.627315e-04
2.481880e-01	1.484799e-04
2.489350e-01	4.599410e-04
2.496810e-01	-1.083433e-04
2.504280e-01	-1.690195e-04
2.511740e-01	2.881467e-04
2.519200e-01	7.029172e-04
2.526670e-01	5.509464e-04
2.534130e-01	7.737657e-04
2.541600e-01	2.829987e-04
2.549060e-01	1.678475e-04
2.556530e-01	-2.297590e-04
2.563990e-01	5.272072e-04
2.571450e-01	1.735364e-04
2.578920e-01	-2.265786e-04
2.586380e-01	2.908237e-04
2.593850e-01	3.604681e-04
2.601310e-01	2.108571e-04
2.608780e-01	-4.087316e-04
2.616240e-01	2.744642e-04
2.623700e-01	5.227848e-04
2.631170e-01	3.658702e-04
2.638630e-01	5.232239e-04
2.646100e-01	4.331842e-04
2.653560e-01	1.301036e-04
2.661030e-01	1.420710e-04
2.668490e-01	3.851253e-04
2.675950e-01	1.776380e-06
2.683420e-01	2.674807e-04
2.690880e-01	2.878052e-04
2.698350e-01	2.278908e-04
2.705810e-01	1.111812e-04
2.713280e-01	2.083247e-04
2.720740e-01	4.596915e-04
2.728200e-01	9.422111e-05
2.735670e-01	2.554042e-04
2.743130e-01	3.932542e-04
2.750600e-01	3.287478e-04
2.758060e-01	1.339379e-04
2.765530e-01	3.764904e-04
2.772990e-01	4.068001e-04
2.780460e-01	3.659158e-04
2.787920e-01	1.538693e-04
2.795380e-01	2.242968e-04
2.802850e-01	4.274502e-04
2.810310e-01	1.775727e-04
2.817780e-01	1.457018e-04
2.825240e-01	1.480141e-04
2.832710e-01	5.612544e-04
2.840170e-01	2.686851e-04
2.847630e-01	1.009800e-04
2.855100e-01	-2.151807e-06
2.862560e-01	-2.644449e-04
2.870030e-01	2.490865e-04
2.877490e-01	3.555120e-04
2.884960e-01	2.667727e-04
2.892420e-01	3.372874e-04
2.899880e-01	1.409707e-04
2.907350e-01	-9.937869e-05
2.914810e-01	1.966558e-04
2.922280e-01	1.116503e-04
2.929740e-01	-2.420047e-05
2.937210e-01	-9.289324e-05
2.944670e-01	6.540085e-05
2.952130e-01	4.421516e-04
