# q	I	sigma_I
6.456599999999999839e-02 1.242706759999999888e-03 5.205335073935286015e-03
6.531299999999999606e-02 8.216925000000000140e-04 5.204978754482477224e-03
6.605900000000000660e-02 1.887819810000000232e-03 5.205881008907543850e-03
6.680599999999999039e-02 6.897304670000000294e-04 5.204867065264736498e-03
6.755200000000000093e-02 7.198805000000000611e-04 5.204892583676352935e-03
6.829799999999999760e-02 2.956858270000000148e-04 5.204533541910048855e-03
6.904500000000000914e-02 8.492014400000000339e-04 5.205002037028853314e-03
6.979099999999999193e-02 1.437527759999999858e-03 5.205499949673303255e-03
7.053800000000000348e-02 1.900566410000000114e-03 5.205891795300140665e-03
7.128400000000000014e-02 9.207604730000000211e-04 5.205062601452098946e-03
7.203099999999999781e-02 1.907332430000000098e-03 5.205897520813791528e-03
7.277699999999999447e-02 1.405909450000000045e-03 5.205473191659350241e-03
7.352300000000000502e-02 1.233671150000000038e-03 5.205327427030922820e-03
7.427000000000000268e-02 1.145587180000000142e-03 5.205252880319356963e-03
7.501599999999999935e-02 -7.667595329999999526e-05 5.204283256408791421e-03
7.576299999999999701e-02 1.686958729999999914e-04 5.204426051779093010e-03
7.650900000000000756e-02 1.059351729999999945e-04 5.204372927419669351e-03
7.725599999999999135e-02 3.008427330000000024e-05 5.204308722019151436e-03
7.800200000000000189e-02 7.517938199999999252e-04 5.204919594364081081e-03
7.874799999999999855e-02 4.108358199999999957e-04 5.204631008234939134e-03
7.949500000000001010e-02 1.856107269999999858e-03 5.205854173112686722e-03
8.024099999999999289e-02 6.562944599999999797e-04 5.204838765521228698e-03
8.098800000000000443e-02 6.597859329999999304e-04 5.204841720659709840e-03
8.173400000000000110e-02 5.877853930000000128e-04 5.204780779976044686e-03
8.248099999999999876e-02 1.046518930000000158e-03 5.205169036180389355e-03
8.322699999999999543e-02 3.667206470000000293e-04 5.204593668076804361e-03
8.397400000000000697e-02 -3.390033330000000144e-06 5.204283256408791421e-03
8.472000000000000364e-02 1.308403670000000117e-04 5.204394008710199436e-03
8.546600000000000030e-02 9.070834199999998826e-04 5.205051025849497491e-03
8.621299999999999797e-02 1.464752749999999977e-03 5.205522989588396224e-03
8.695900000000000851e-02 3.806264729999999643e-04 5.204605438335924150e-03
8.770599999999999230e-02 -4.679404129999999444e-04 5.204283256408791421e-03
8.845200000000000284e-02 6.214329930000000394e-04 5.204809259125534743e-03
8.919900000000000051e-02 3.348475600000000267e-04 5.204566689752073046e-03
8.994500000000001105e-02 9.503686729999999590e-04 5.205087660326319400e-03
9.069099999999999384e-02 7.303040330000000642e-04 5.204901405926335572e-03
9.143800000000000539e-02 6.959746670000000737e-04 5.204872350246531575e-03
9.218400000000000205e-02 7.917512929999999567e-04 5.204953413237170187e-03
9.293099999999999972e-02 4.421419329999999657e-05 5.204320682611974017e-03
9.367699999999999638e-02 3.266319599999999829e-04 5.204559735802265566e-03
9.442300000000000693e-02 4.603439399999999780e-04 5.204672912795900962e-03
9.517000000000000459e-02 2.607607070000000113e-04 5.204503979905348784e-03
9.591600000000000126e-02 4.306009529999999907e-04 5.204647737838564298e-03
9.666299999999999892e-02 2.640256799999999736e-04 5.204506743514913068e-03
9.740900000000000947e-02 9.223345800000000904e-04 5.205063933699220595e-03
9.815599999999999326e-02 3.831911329999999677e-04 5.204607609129110850e-03
9.890200000000000380e-02 -4.886243599999999737e-04 5.204283256408791421e-03
9.964900000000000146e-02 7.902424729999999809e-04 5.204952136218661020e-03
1.003949999999999981e-01 4.226462000000000057e-04 5.204641004783096096e-03
1.011409999999999948e-01 1.858077600000000175e-04 5.204440536195786837e-03
1.018880000000000063e-01 9.312008199999999509e-04 5.205071437644437533e-03
1.026339999999999891e-01 -2.779682000000000265e-05 5.204283256408791421e-03
1.033810000000000007e-01 1.690826329999999965e-04 5.204426379153894756e-03
1.041269999999999973e-01 1.796075730000000177e-04 5.204435288030438353e-03
1.048739999999999950e-01 -3.328703270000000244e-04 5.204283256408791421e-03
1.056200000000000055e-01 8.246347530000000059e-04 5.204981244701247130e-03
1.063660000000000022e-01 9.269887400000000879e-04 5.205067872750455960e-03
1.071130000000000138e-01 6.602601929999999579e-04 5.204842122067231645e-03
1.078589999999999965e-01 6.643265069999999481e-04 5.204845563741466313e-03
1.086059999999999942e-01 1.375244600000000118e-04 5.204399666523766045e-03
1.093520000000000048e-01 -3.432782529999999941e-04 5.204283256408791421e-03
1.100990000000000024e-01 6.975853599999998862e-04 5.204873713508077759e-03
1.108449999999999991e-01 5.603385069999999944e-04 5.204757548962468325e-03
1.115910000000000096e-01 7.763468069999999435e-04 5.204940375342680461e-03
1.123380000000000073e-01 5.323424670000000651e-05 5.204328317827378383e-03
1.130839999999999901e-01 9.975690669999999656e-04 5.205127608089116752e-03
1.138309999999999877e-01 1.968803669999999960e-04 5.204449908621287466e-03
1.145769999999999983e-01 1.540529130000000194e-04 5.204413657162300019e-03
1.153239999999999960e-01 4.892461130000000206e-04 5.204697375957670694e-03
1.160700000000000065e-01 3.495243470000000056e-04 5.204579112636601411e-03
1.168160000000000032e-01 3.391289929999999992e-04 5.204570313691886212e-03
1.175630000000000147e-01 2.336936270000000021e-04 5.204481069141409129e-03
1.183089999999999975e-01 6.829069329999999552e-05 5.204341062650810236e-03
1.190559999999999952e-01 4.083144269999999820e-04 5.204628874073640062e-03
1.198019999999999918e-01 1.998177399999999718e-04 5.204452394962421312e-03
1.205490000000000034e-01 4.968044870000000012e-04 5.204703773441268257e-03
1.212950000000000000e-01 3.126944000000000533e-05 5.204309725231571690e-03
1.220410000000000106e-01 1.355827289999999912e-03 5.205430807735728603e-03
1.227880000000000082e-01 6.574598469999999714e-04 5.204839751890196972e-03
1.235339999999999910e-01 1.534246070000000006e-04 5.204413125328451357e-03
1.242809999999999887e-01 -4.548028670000000867e-05 5.204283256408791421e-03
1.250269999999999992e-01 6.084245070000000215e-04 5.204798248830722583e-03
