x y
0.9044571 17160.29
0.9067753 17038.16
0.9090935 17070.98
0.9114117 17106.09
0.9137299 16883.5
0.9160481 16696.75
0.9183663 16852.91
0.9206845 16923
0.9230026 16628.77
0.9253208 16362.34
0.927639 16314.13
0.9299571 16305.88
0.9322753 16235.55
0.9345934 16084.82
0.9369116 15856.04
0.9392297 15587.74
0.9415479 15443.99
0.943866 15487.84
0.9461842 15416.75
0.9485023 15124.76
0.9508204 14911.73
0.9531385 14871.88
0.9554567 14861.43
0.9577748 14774.16
0.9600929 14557.98
0.962411 14308.43
0.9647291 14122.74
0.9670472 13919.39
0.9693653 13669.9
0.9716834 13525.74
0.9740015 13512.76
0.9763196 13480.54
0.9786377 13354
0.9809557 13138.27
0.9832738 12949.4
0.9855919 12897.09
0.9879099 12842.14
0.990228 12651.58
0.9925461 12380.89
0.9948641 12130.86
0.9971822 12018.11
0.9995002 11984.98
1.001818 11832.28
1.004136 11607.88
1.006454 11472.22
1.008772 11392.98
1.01109 11292.97
1.013408 11168.19
1.015726 11019.1
1.018044 10828.78
1.020362 10647.34
1.02268 10590.28
1.024998 10564.87
1.027316 10367.88
1.029634 10105.93
1.031952 9954.765
1.03427 9809.593
1.036588 9605.058
1.038906 9539.25
1.041224 9625.491
1.043542 9566.715
1.04586 9320.249
1.048178 9083.196
1.050496 8955.702
1.052814 8952.183
1.055132 8942.06
1.05745 8814.012
1.059768 8658.035
1.062086 8530.339
1.064404 8360.188
1.066722 8151.546
1.06904 7997.186
1.071358 7877.476
1.073675 7712.623
1.075993 7559.808
1.078311 7492.349
1.080629 7423.996
1.082947 7315.951
1.085265 7319.898
1.087583 7401.428
1.089901 7255.027
1.092219 6937.545
1.094536 6788.083
1.096854 6765.221
1.099172 6674.472
1.10149 6570.786
1.103808 6528.178
1.106126 6454.194
1.108444 6319.66
1.110761 6248.834
1.113079 6231.71
1.115397 6115.649
1.117715 5920.252
1.120033 5771.946
1.12235 5734.904
1.124668 5797.884
1.126986 5767.292
1.129304 5554.991
1.131622 5383.771
1.13394 5344.969
1.136257 5312.116
1.138575 5254.723
1.140893 5223.986
1.143211 5207.301
1.145528 5160.017
1.147846 5040.606
1.150164 4856.577
1.152482 4743.798
1.154799 4755.227
1.157117 4776.073
1.159435 4721.441
1.161753 4563.922
1.16407 4410.115
1.166388 4399.54
1.168706 4383
1.171024 4210.637
1.173341 4097.571
1.175659 4167.003
1.177977 4201.814
1.180294 4126.588
1.182612 4082.971
1.18493 4075.5
1.187247 4010.954
1.189565 3933.423
1.191883 3920.753
1.1942 3912.038
1.196518 3842.994
1.198836 3738.103
1.201153 3636.617
1.203471 3576.715
1.205789 3547.865
1.208106 3500.962
1.210424 3464.226
1.212742 3489.488
1.215059 3501.948
1.217377 3426.543
1.219694 3330.847
1.222012 3273.687
1.22433 3242.042
1.226647 3225.21
1.228965 3222.314
1.231282 3198.947
1.2336 3111.299
1.235918 3027.459
1.238235 3027.657
1.240553 3037.553
1.24287 2998.373
1.245188 2983.704
1.247505 3005.113
1.249823 2961.371
1.252141 2865.327
1.254458 2828.971
1.256776 2852.943
1.259093 2876.675
1.261411 2852.739
1.263728 2764.188
1.266046 2672.883
1.268363 2625.286
1.270681 2612.277
1.272998 2610.816
1.275316 2591.642
1.277633 2560.452
1.279951 2542.169
1.282268 2526.799
1.284586 2498.555
1.286903 2476.466
1.289221 2472.465
1.291538 2463.158
1.293855 2428.522
1.296173 2361.953
1.29849 2292.308
1.300808 2271.045
1.303125 2288.373
1.305443 2306.265
1.30776 2308.111
1.310077 2288.581
1.312395 2255.411
1.314712 2219.224
1.31703 2191.569
1.319347 2183.478
1.321664 2201.444
1.323982 2205.949
1.326299 2146.853
1.328617 2097.854
1.330934 2134.675
1.333251 2161.27
1.335569 2105.544
1.337886 2030.972
1.340203 1980.083
1.342521 1946.216
1.344838 1944.09
1.347155 1997.537
1.349473 2039.264
1.35179 1991.022
1.354107 1935.966
1.356425 1951.302
1.358742 1970.07
1.361059 1944.559
1.363376 1897.882
1.365694 1854.221
1.368011 1832.155
1.370328 1848.891
1.372646 1907.647
1.374963 1931.766
1.37728 1864.95
1.379597 1823.173
1.381915 1866.828
1.384232 1869.885
1.386549 1781.454
1.388866 1672.242
1.391183 1612.294
1.393501 1650.903
1.395818 1725.28
1.398135 1743.364
1.400452 1715.327
1.402769 1676.444
1.405087 1653.451
1.407404 1647.822
1.409721 1625.49
1.412038 1580.957
1.414355 1539.974
1.416673 1539.534
1.41899 1605.205
1.421307 1664.715
1.423624 1649.487
1.425941 1614.451
1.428258 1594.545
1.430575 1540.37
1.432892 1478.845
1.43521 1525.138
1.437527 1612.47
1.439844 1570.732
1.442161 1473.797
1.444478 1460.359
1.446795 1483.499
1.449112 1478.233
1.451429 1453.05
1.453746 1431.921
1.456063 1443.398
1.45838 1475.198
1.460697 1482.097
1.463014 1460.739
1.465331 1432.23
1.467648 1420.222
1.469966 1431.303
1.472283 1417.834
1.4746 1365.998
1.476917 1340.715
1.479234 1356.759
1.481551 1366.738
1.483868 1366.853
1.486185 1378.302
1.488501 1370.751
1.490818 1315.64
1.493135 1276.714
1.495452 1295.7
1.497769 1313.116
1.500086 1301.76
1.502403 1297.319
1.50472 1309.296
1.507037 1321.589
1.509354 1326.075
1.511671 1318.628
1.513988 1291.902
1.516305 1251.882
1.518622 1245.482
1.520938 1277.508
1.523255 1270.485
1.525572 1226.545
1.527889 1231.13
1.530206 1250.184
1.532523 1194.608
1.53484 1143.964
1.537156 1192.766
1.539473 1242.795
1.54179 1214.707
1.544107 1165.673
1.546424 1144.285
1.548741 1162.245
1.551057 1196.72
1.553374 1202.759
1.555691 1168.886
1.558008 1109.888
1.560325 1083.953
1.562641 1123.994
